# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.97552e-07 to 12.4775 h/Mpc,
# number of wavenumbers equal to 140
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
# k (h/Mpc)       d_g                d_b                d_cdm              d_ur               d_tot              t_g                t_b                t_cdm              t_ur               t_tot              
1.9755223192e-07  -2.1733167593e+00  -1.6299875695e+00  -1.6299875695e+00  -2.1733167593e+00  -1.6301572288e+00  4.4689168867e-11  4.4689270035e-11  4.4689270036e-11  4.4689167739e-11  4.4689269994e-11
2.4870352492e-07  -2.1733178207e+00  -1.6299883655e+00  -1.6299883655e+00  -2.1733178207e+00  -1.6301580249e+00  7.0827606245e-11  7.0827724107e-11  7.0827724108e-11  7.0827604930e-11  7.0827724058e-11
3.1309918753e-07  -2.1733206063e+00  -1.6299904547e+00  -1.6299904547e+00  -2.1733206063e+00  -1.6301601143e+00  1.1225310015e-10  1.1225417602e-10  1.1225417605e-10  1.1225307562e-10  1.1225417560e-10
3.9416852359e-07  -2.1733256886e+00  -1.6299942665e+00  -1.6299942665e+00  -2.1733256886e+00  -1.6301639265e+00  1.7790612990e-10  1.7791045696e-10  1.7791045716e-10  1.7790599110e-10  1.7791045530e-10
4.9622877088e-07  -2.1733250680e+00  -1.6299938011e+00  -1.6299938011e+00  -2.1733250680e+00  -1.6301634610e+00  2.8196291522e-10  2.8196939225e-10  2.8196939258e-10  2.8196268635e-10  2.8196938979e-10
6.2471500972e-07  -2.1733259150e+00  -1.6299944363e+00  -1.6299944363e+00  -2.1733259150e+00  -1.6301640963e+00  4.4688089729e-10  4.4689151143e-10  4.4689151194e-10  4.4688052897e-10  4.4689150737e-10
7.8646960087e-07  -2.1733304855e+00  -1.6299978642e+00  -1.6299978642e+00  -2.1733304855e+00  -1.6301675246e+00  7.0825730755e-10  7.0827505016e-10  7.0827505079e-10  7.0825680328e-10  7.0827504321e-10
9.9010656614e-07  -2.1733343698e+00  -1.6300007775e+00  -1.6300007775e+00  -2.1733343698e+00  -1.6301704382e+00  1.1225138762e-09  1.1225430242e-09  1.1225430254e-09  1.1225129780e-09  1.1225430129e-09
1.2464703165e-06  -2.1733411713e+00  -1.6300058788e+00  -1.6300058788e+00  -2.1733411713e+00  -1.6301755400e+00  1.7790437847e-09  1.7791076065e-09  1.7791076083e-09  1.7790420231e-09  1.7791075812e-09
1.5692131565e-06  -2.1733536681e+00  -1.6300152517e+00  -1.6300152517e+00  -2.1733536681e+00  -1.6301849139e+00  2.8195539912e-09  2.8196945460e-09  2.8196945477e-09  2.8195503392e-09  2.8196944883e-09
1.9755223192e-06  -2.1733737535e+00  -1.6300303164e+00  -1.6300303164e+00  -2.1733737535e+00  -1.6301999801e+00  4.4686255796e-09  4.4689159546e-09  4.4689159617e-09  4.4686186117e-09  4.4689158385e-09
2.4870352492e-06  -2.1734068794e+00  -1.6300551624e+00  -1.6300551624e+00  -2.1734068792e+00  -1.6302248287e+00  7.0820650821e-09  7.0827531870e-09  7.0827532315e-09  7.0820469297e-09  7.0827529345e-09
3.1309918753e-06  -2.1734537372e+00  -1.6300903092e+00  -1.6300903092e+00  -2.1734537369e+00  -1.6302599792e+00  1.1223841377e-08  1.1225418530e-08  1.1225418562e-08  1.1223805220e-08  1.1225417894e-08
3.9416852359e-06  -2.1735397234e+00  -1.6301548078e+00  -1.6301548078e+00  -2.1735397228e+00  -1.6303244845e+00  1.7787072050e-08  1.7791032830e-08  1.7791032901e-08  1.7786985469e-08  1.7791031226e-08
4.9622877088e-06  -2.1736550546e+00  -1.6302413266e+00  -1.6302413266e+00  -2.1736550532e+00  -1.6304110123e+00  2.8187575202e-08  2.8196961260e-08  2.8196961406e-08  2.8187372270e-08  2.8196957440e-08
6.2471500972e-06  -2.1738511939e+00  -1.6303884826e+00  -1.6303884826e+00  -2.1738511905e+00  -1.6305581836e+00  4.4665810546e-08  4.4689111691e-08  4.4689112069e-08  4.4665309058e-08  4.4689102221e-08
7.8646960087e-06  -2.1741529699e+00  -1.6306149432e+00  -1.6306149432e+00  -2.1741529616e+00  -1.6307846677e+00  7.0769814850e-08  7.0827534854e-08  7.0827535782e-08  7.0768569331e-08  7.0827511387e-08
9.9010656614e-06  -2.1746366657e+00  -1.6309780297e+00  -1.6309780297e+00  -2.1746366453e+00  -1.6311477919e+00  1.1211071692e-07  1.1225408445e-07  1.1225408667e-07  1.1210765231e-07  1.1225402609e-07
1.2464703165e-05  -2.1754048313e+00  -1.6315549456e+00  -1.6315549457e+00  -2.1754047806e+00  -1.6317247676e+00  1.7755193298e-07  1.7791056961e-07  1.7791057511e-07  1.7754429331e-07  1.7791042360e-07
1.5692131565e-05  -2.1766196859e+00  -1.6324680603e+00  -1.6324680605e+00  -2.1766195600e+00  -1.6326379766e+00  2.8107202737e-07  2.8196907252e-07  2.8196908611e-07  2.8105298622e-07  2.8196870717e-07
1.9755223192e-05  -2.1785448715e+00  -1.6339169249e+00  -1.6339169254e+00  -2.1785445558e+00  -1.6340869901e+00  4.4463764751e-07  4.4688943095e-07  4.4688946599e-07  4.4458989888e-07  4.4688851462e-07
2.4870352492e-05  -2.1815847250e+00  -1.6362091775e+00  -1.6362091788e+00  -2.1815839404e+00  -1.6363794768e+00  7.0263947287e-07  7.0827189929e-07  7.0827198886e-07  7.0252046923e-07  7.0826960893e-07
3.1309918753e-05  -2.1863917429e+00  -1.6398456219e+00  -1.6398456251e+00  -2.1863897728e+00  -1.6400162882e+00  1.1083978275e-06  1.1225299125e-06  1.1225301314e-06  1.1080995371e-06  1.1225241610e-06
3.9416852359e-05  -2.1939782701e+00  -1.6456137826e+00  -1.6456137905e+00  -2.1939733262e+00  -1.6457850202e+00  1.7436359513e-06  1.7790737343e-06  1.7790742685e-06  1.7428893837e-06  1.7790592998e-06
4.9622877088e-05  -2.2059047957e+00  -1.6547547523e+00  -1.6547547723e+00  -2.2058924206e+00  -1.6549268689e+00  2.7308690957e-06  2.8196021379e-06  2.8196034791e-06  2.7290064168e-06  2.8195659995e-06
6.2471500972e-05  -2.2245669531e+00  -1.6692418084e+00  -1.6692418589e+00  -2.2245360434e+00  -1.6694152517e+00  4.2469383278e-06  4.4686660372e-06  4.4686694080e-06  4.2423104507e-06  4.4685757546e-06
7.8646960087e-05  -2.2535450853e+00  -1.6921987363e+00  -1.6921988629e+00  -2.2534681914e+00  -1.6923741174e+00  6.5298642005e-06  7.0821123127e-06  7.0821207386e-06  6.5184447818e-06  7.0818874931e-06
9.9010656614e-05  -2.2980036739e+00  -1.7285819107e+00  -1.7285822295e+00  -2.2978134794e+00  -1.7287599592e+00  9.8551299644e-06  1.1223763433e-05  1.1223784498e-05  9.8272520930e-06  1.1223206488e-05
1.2464703165e-04  -2.3648744147e+00  -1.7862354117e+00  -1.7862362075e+00  -2.3644084430e+00  -1.7864167008e+00  1.4421890893e-05  1.7786910491e-05  1.7786962974e-05  1.4355011715e-05  1.7785542006e-05
1.5692131565e-04  -2.4622501392e+00  -1.8775918050e+00  -1.8775937891e+00  -2.4611251035e+00  -1.8777758803e+00  2.0015499727e-05  2.8186434548e-05  2.8186564692e-05  1.9859532532e-05  2.8183114943e-05
1.9755223192e-04  -2.5965112465e+00  -2.0223342284e+00  -2.0223391522e+00  -2.5938585110e+00  -2.0225172868e+00  2.5210241608e-05  4.4662711914e-05  4.4663032238e-05  2.4863395779e-05  4.4654821866e-05
2.4870352492e-04  -2.7646074787e+00  -2.2516145005e+00  -2.2516266335e+00  -2.7585866903e+00  -2.2517840344e+00  2.5870900182e-05  7.0761487886e-05  7.0762267342e-05  2.5160996751e-05  7.0743328909e-05
3.1309918753e-04  -2.9388910630e+00  -2.6147076132e+00  -2.6147371810e+00  -2.9260508232e+00  -2.6148318550e+00  1.3425173696e-05  1.1208979708e-04  1.1209166042e-04  1.2184852840e-05  1.1205006522e-04
3.9416852359e-04  -3.0492957186e+00  -3.1894620298e+00  -3.1895328864e+00  -3.0246127513e+00  -3.1894741860e+00  -2.3632240342e-05  1.7750467563e-04  1.7750901295e-04  -2.5113850630e-05  1.7742430567e-04
4.9622877088e-04  -2.9952972156e+00  -4.0986962025e+00  -4.0988616979e+00  -2.9556787631e+00  -4.0984845753e+00  -8.5845975355e-05  2.8097663357e-04  2.8098634443e-04  -8.5568321724e-05  2.8083206689e-04
6.2471500972e-04  -2.7563005728e+00  -5.5357934974e+00  -5.5361657404e+00  -2.7111768409e+00  -5.5352301560e+00  -1.3448454349e-04  4.4449426717e-04  4.4451487398e-04  -1.2768641920e-04  4.4427157104e-04
7.8646960087e-04  -2.5536721819e+00  -7.8044729732e+00  -7.8052663779e+00  -2.5324127705e+00  -7.8034921052e+00  -1.1576981996e-04  7.0258204509e-04  7.0262291686e-04  -1.0087313543e-04  7.0227796743e-04
9.9010656614e-04  -2.5666514867e+00  -1.1380146662e+01  -1.1381721308e+01  -2.5799294620e+00  -1.1378709027e+01  -1.2438409754e-04  1.1092709008e-03  1.1093461061e-03  -1.1820895985e-04  1.1088210693e-03
1.2464703165e-03  -2.3963277682e+00  -1.7003657584e+01  -1.7006522404e+01  -2.3901971282e+00  -1.7001483901e+01  -2.0902743436e-04  1.7487493940e-03  1.7488776807e-03  -2.1985275649e-04  1.7480394675e-03
