# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=15
# for k=1.97552e-07 to 12.4775 h/Mpc,
# number of wavenumbers equal to 140
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
# k (h/Mpc)       d_g                d_b                d_cdm              d_ur               d_tot              t_g                t_b                t_ur               t_tot              
1.9755223192e-07  -4.2714571502e-08  -3.2035929093e-08  -3.2035929093e-08  -4.2714571490e-08  -3.2089032361e-08  -4.7763706295e-19  -4.4037110491e-24  -4.8226639180e-19  -1.8505100849e-20
2.4870352492e-07  -6.7698033134e-08  -5.0773526023e-08  -5.0773526024e-08  -6.7698033106e-08  -5.0857689028e-08  -1.1997700564e-18  -1.1061629792e-23  -1.2113983934e-18  -4.6482711519e-20
3.1309918753e-07  -1.0729415045e-07  -8.0470615783e-08  -8.0470615783e-08  -1.0729415038e-07  -8.0604005149e-08  -3.0136861096e-18  -2.7785444553e-23  -3.0428951560e-18  -1.1675929139e-19
3.9416852359e-07  -1.7004976666e-07  -1.2753733239e-07  -1.2753733240e-07  -1.7004976648e-07  -1.2774874028e-07  -7.5700370007e-18  -6.9808400281e-23  -7.6434068961e-18  -2.9328608563e-19
4.9622877088e-07  -2.6951070483e-07  -2.0213304720e-07  -2.0213304721e-07  -2.6951070438e-07  -2.0246810607e-07  -1.9015066761e-17  -1.7537700492e-22  -1.9199361283e-17  -7.3670107816e-19
6.2471500972e-07  -4.2714565922e-07  -3.2035929109e-07  -3.2035929110e-07  -4.2714565808e-07  -3.2089032349e-07  -4.7763687160e-17  -4.4049416824e-22  -4.8226613554e-17  -1.8505093627e-18
7.8646960087e-07  -6.7698018977e-07  -5.0773525958e-07  -5.0773525960e-07  -6.7698018692e-07  -5.0857688894e-07  -1.1997697114e-16  -1.1064440069e-21  -1.2113980409e-16  -4.6482700792e-18
9.9010656614e-07  -1.0729411428e-06  -8.0470615163e-07  -8.0470615169e-07  -1.0729411356e-06  -8.0604004355e-07  -3.0136845784e-16  -2.7793859082e-21  -3.0428933943e-16  -1.1675923677e-17
1.2464703165e-06  -1.7004967450e-06  -1.2753732986e-06  -1.2753732987e-06  -1.7004967270e-06  -1.2774873730e-06  -7.5700354144e-16  -6.9775742609e-21  -7.6434050569e-16  -2.9328598904e-17
1.5692131565e-06  -2.6951047649e-06  -2.0213304320e-06  -2.0213304324e-06  -2.6951047197e-06  -2.0246810097e-06  -1.9015056032e-15  -1.7537621519e-20  -1.9199351262e-15  -7.3670067460e-17
1.9755223192e-06  -4.2714508658e-06  -3.2035928174e-06  -3.2035928183e-06  -4.2714507523e-06  -3.2089031138e-06  -4.7763652779e-15  -4.4042108591e-20  -4.8226582626e-15  -1.8505080204e-16
2.4870352492e-06  -6.7697875033e-06  -5.0773523530e-06  -5.0773523553e-06  -6.7697872181e-06  -5.0857685773e-06  -1.1997678018e-14  -1.1064549410e-19  -1.2113960250e-14  -4.6482625546e-16
3.1309918753e-06  -1.0729375307e-05  -8.0470609333e-06  -8.0470609390e-06  -1.0729374591e-05  -8.0603996787e-06  -3.0136777050e-14  -2.7789577628e-19  -3.0428862559e-14  -1.1675896330e-15
3.9416852359e-06  -1.7004876827e-05  -1.2753731603e-05  -1.2753731618e-05  -1.7004875028e-05  -1.2774871911e-05  -7.5700032833e-14  -6.9818232778e-19  -7.6433713555e-14  -2.9328476549e-15
4.9622877088e-06  -2.6950820303e-05  -2.0213301063e-05  -2.0213301099e-05  -2.6950815783e-05  -2.0246805744e-05  -1.9014942209e-13  -1.7537677051e-18  -1.9199233366e-13  -7.3669621949e-15
6.2471500972e-06  -4.2713937384e-05  -3.2035919834e-05  -3.2035919926e-05  -4.2713926029e-05  -3.2089020047e-05  -4.7763190454e-13  -4.4055843309e-18  -4.8226101701e-13  -1.8504900222e-14
7.8646960087e-06  -6.7696440447e-05  -5.0773502868e-05  -5.0773503099e-05  -6.7696411924e-05  -5.0857658201e-05  -1.1997497126e-12  -1.1065779493e-17  -1.2113772918e-12  -4.6481918676e-14
9.9010656614e-06  -1.0729014964e-04  -8.0470557480e-05  -8.0470558059e-05  -1.0729007799e-04  -8.0603927575e-05  -3.0136057186e-12  -2.7795534447e-17  -3.0428118239e-12  -1.1675615315e-13
1.2464703165e-05  -1.7003971570e-04  -1.2753718484e-04  -1.2753718629e-04  -1.7003953574e-04  -1.2774854431e-04  -7.5697184282e-12  -6.9817163700e-17  -7.6430769820e-12  -2.9327362435e-13
1.5692131565e-05  -2.6948546426e-04  -2.0213268099e-04  -2.0213268464e-04  -2.6948501225e-04  -2.0246761827e-04  -1.9013807946e-11  -1.7537475029e-16  -1.9198060631e-11  -7.3665184984e-13
1.9755223192e-05  -4.2708225881e-04  -3.2035837078e-04  -3.2035837996e-04  -4.2708112348e-04  -3.2088909778e-04  -4.7758674881e-11  -4.4051640230e-16  -4.8221433944e-11  -1.8503133664e-12
2.4870352492e-05  -6.7682094299e-04  -5.0773294901e-04  -5.0773297205e-04  -6.7681809149e-04  -5.0857381126e-04  -1.1995699950e-10  -1.1065017812e-15  -1.2111914609e-10  -4.6474887848e-12
3.1309918753e-05  -1.0725411670e-03  -8.0470035432e-04  -8.0470041220e-04  -1.0725340055e-03  -8.0603231950e-04  -3.0128901906e-10  -2.7793685741e-15  -3.0420720868e-10  -1.1672816380e-11
3.9416852359e-05  -1.6994921542e-03  -1.2753587383e-03  -1.2753588837e-03  -1.6994741703e-03  -1.2774679735e-03  -7.5668700736e-10  -6.9813469788e-15  -7.6401322454e-10  -2.9316220846e-11
4.9622877088e-05  -2.6925817758e-03  -2.0212938805e-03  -2.0212942457e-03  -2.6925366227e-03  -2.0246323046e-03  -1.9002470658e-09  -1.7535777371e-14  -1.9186334681e-09  -7.3620830036e-11
6.2471500972e-05  -4.2651149865e-03  -3.2035009985e-03  -3.2035019159e-03  -4.2650016482e-03  -3.2087807748e-03  -4.7713551072e-09  -4.4046017097e-14  -4.8174753052e-09  -1.8485478354e-10
7.8646960087e-05  -6.7538788750e-03  -5.0771217533e-03  -5.0771240577e-03  -6.7535944904e-03  -5.0854613465e-03  -1.1977741121e-08  -1.1063076350e-13  -1.2093339562e-08  -4.6404627242e-10
9.9010656614e-05  -1.0689439979e-02  -8.0464818100e-03  -8.0464875982e-03  -1.0688726851e-02  -8.0596281944e-03  -3.0057443476e-08  -2.7785938393e-13  -3.0346823851e-08  -1.1644861688e-09
1.2464703165e-04  -1.6904664313e-02  -1.2752277158e-02  -1.2752291697e-02  -1.6902877830e-02  -1.2772934785e-02  -7.5384456701e-08  -6.9782307421e-13  -7.6107422658e-08  -2.9205030921e-09
1.5692131565e-04  -2.6699497688e-02  -2.0209648905e-02  -2.0209685425e-02  -2.6695029334e-02  -2.0241943166e-02  -1.8889461150e-07  -1.7523553712e-12  -1.9069506489e-07  -7.3178794116e-09
1.9755223192e-04  -4.2084231660e-02  -3.2026751056e-02  -3.2026842784e-02  -4.2073083343e-02  -3.2076818854e-02  -4.7264608130e-07  -4.3997015677e-12  -4.7710708524e-07  -1.8309885390e-08
2.4870352492e-04  -6.6120989699e-02  -5.0750491544e-02  -5.0750721935e-02  -6.6093285597e-02  -5.0827061608e-02  -1.1799617751e-06  -1.1043527575e-11  -1.1909248699e-06  -4.5707979683e-08
