#        z       nELG       nLRG        nQSO
# dN/dz ddeg^2, typical bias 0.84/D(z), 1.7/D, 1.2/D 
0.15 376 50 8
0.25 347 125 23
0.35 291 222 31
0.45 285 332 31
0.55 431 448 32
0.65 722 563 34
0.75 1112 675 37
0.85 1333 471 44
0.95 1401 91 50
1.05 1469 11 56
1.15 1483 0 62
1.25 1421 0 69
1.35 1120 0 75
1.45 775 0 81
1.55 460 0 83
1.65 179 0 80
1.75 49 0 77
1.85 0 0 74
1.95 0 0 71
2.05 0 0 68
2.15 0 0 65
2.25 0 0 61
2.35 0 0 58
2.45 0 0 55
2.55 0 0 51
2.65 0 0 48
2.75 0 0 44
2.85 0 0 40
2.95 0 0 36
3.05 0 0 33
3.15 0 0 29
3.25 0 0 25
3.35 0 0 21
3.45 0 0 18
3.55 0 0 15
3.65 0 0 14
3.75 0 0 12
3.85 0 0 11
3.95 0 0 10
4.05 0 0 8
4.15 0 0 7
4.25 0 0 6
4.35 0 0 4
4.45 0 0 3
4.55 0 0 2
4.65 0 0 2
4.75 0 0 2
